site,zone,설명,면적_km2,면적_B대비_%,건물수,건물_B대비_%,바닥면적_ha
옥수,A1,경위도 버퍼 0.02695°,22.327380858982092,-20.90604998073249,6962,-35.804518211157216,234.35149647020884
옥수,A2,웹 메르카토르 buffer(3000),17.704052665167357,-37.28402514019435,4359,-59.80636237897649,163.13574491040535
옥수,B,투영(5179) buffer(3000),28.228936414912997,0.0,10845,0.0,330.2603884477865
옥수,C,"도로망 3,000m 도달권",14.223970382558845,-49.61209245189806,2500,-76.94790225910558,108.06612606154751
옥수,D,"주행 10분 등시권(3,333m)",17.972487901040328,-36.33310289527704,4062,-62.54495159059474,159.42299072591794
신림,A1,경위도 버퍼 0.02695°,22.344405921784233,-20.845739303235106,10367,-12.0397081282878,227.57445541037674
신림,A2,웹 메르카토르 buffer(3000),17.73096969610619,-37.188672518532655,9031,-23.375190904462926,187.42417152133996
신림,B,투영(5179) buffer(3000),28.228936414912997,0.0,11786,0.0,283.0834247824478
신림,C,"도로망 3,000m 도달권",16.907029705664662,-40.107450535285174,9307,-21.033429492618367,183.9639617334578
신림,D,"주행 10분 등시권(3,333m)",20.643815885144555,-26.870018828485925,10479,-11.089428135075508,240.9030797530211
화곡,A1,경위도 버퍼 0.02695°,22.3281065650928,-20.903479192729563,9744,-17.107613781369636,307.8862878933491
화곡,A2,웹 메르카토르 buffer(3000),17.704509371601336,-37.28240727394793,8706,-25.93789876648235,231.530133059009
화곡,B,투영(5179) buffer(3000),28.228936414912997,0.0,11755,0.0,377.6586819469982
화곡,C,"도로망 3,000m 도달권",15.011104723261854,-46.82369713606471,8381,-28.702679710761373,231.8086768995825
화곡,D,"주행 10분 등시권(3,333m)",18.443667039414482,-34.66396760994891,9187,-21.846022968949384,293.89440149323235
